data,dose,num_dosi
2021-02-05,prime_dosi,1374311
2021-02-05,seconde_dosi,1012937
2021-02-04,prime_dosi,1386028
2021-02-04,seconde_dosi,960412
2021-02-03,prime_dosi,1374142
2021-02-03,seconde_dosi,874034
2021-02-02,prime_dosi,1365780
2021-02-02,seconde_dosi,787942
2021-02-01,prime_dosi,1359820
2021-02-01,seconde_dosi,709981
2021-01-31,prime_dosi,1332824
2021-01-31,seconde_dosi,626922
2021-01-30,prime_dosi,1353170
2021-01-30,seconde_dosi,575891
2021-01-29,prime_dosi,1349438
2021-01-29,seconde_dosi,492071
2021-01-28,prime_dosi,1345081
2021-01-28,seconde_dosi,400637
2021-01-27,prime_dosi,1340774
2021-01-27,seconde_dosi,312595
2021-01-26,prime_dosi,1334950
2021-01-26,seconde_dosi,248590
2021-01-25,prime_dosi,1330831
2021-01-25,seconde_dosi,173488
2021-01-24,prime_dosi,1315694
2021-01-24,seconde_dosi,109853
2021-01-23,prime_dosi,1312705
2021-01-23,seconde_dosi,79305
2021-01-22,prime_dosi,1317775
2021-01-22,seconde_dosi,46746
2021-01-21,prime_dosi,1306046
2021-01-21,seconde_dosi,32869
2021-01-20,prime_dosi,1291127
2021-01-20,seconde_dosi,13461
2021-01-19,prime_dosi,1266358
2021-01-19,seconde_dosi,8981
2021-01-18,prime_dosi,1236423
2021-01-18,seconde_dosi,7199
2021-01-17,prime_dosi,1199330
2021-01-17,seconde_dosi,2800
2021-01-16,prime_dosi,1166230
2021-01-16,seconde_dosi,0
2021-01-15,prime_dosi,1102678
2021-01-15,seconde_dosi,0
2021-01-14,prime_dosi,1015044
2021-01-14,seconde_dosi,0
2021-01-13,prime_dosi,923251
2021-01-13,seconde_dosi,0
2021-01-12,prime_dosi,830563
2021-01-12,seconde_dosi,0
2021-01-11,prime_dosi,749720
2021-01-11,seconde_dosi,0
2021-01-10,prime_dosi,669280
2021-01-10,seconde_dosi,0
2021-01-09,prime_dosi,609095
2021-01-09,seconde_dosi,0
2021-01-08,prime_dosi,522372
2021-01-08,seconde_dosi,0
2021-01-07,prime_dosi,427313
2021-01-07,seconde_dosi,0
2021-01-06,prime_dosi,335722
2021-01-06,seconde_dosi,0
2021-01-05,prime_dosi,270718
2021-01-05,seconde_dosi,0
2021-01-04,prime_dosi,191388
2021-01-04,seconde_dosi,0
2021-01-03,prime_dosi,121662
2021-01-03,seconde_dosi,0
2021-01-02,prime_dosi,88126
2021-01-02,seconde_dosi,0
2021-01-01,prime_dosi,43523
2021-01-01,seconde_dosi,0
2020-12-31,prime_dosi,38250
2020-12-31,seconde_dosi,0
2020-12-30,prime_dosi,11061
2020-12-30,seconde_dosi,0
2020-12-29,prime_dosi,3010
2020-12-29,seconde_dosi,0
2020-12-28,prime_dosi,2370
2020-12-28,seconde_dosi,0
2020-12-27,prime_dosi,7011
2020-12-27,seconde_dosi,0
