data,area,dose,num_dosi
2021-01-30,ITA,prima_dose,2606
2021-01-30,ITA,seconda_dose,72380
2021-01-29,ITA,prima_dose,3749
2021-01-29,ITA,seconda_dose,89114
2021-01-28,ITA,prima_dose,4080
2021-01-28,ITA,seconda_dose,86805
2021-01-27,ITA,prima_dose,5558
2021-01-27,ITA,seconda_dose,63300
2021-01-26,ITA,prima_dose,3998
2021-01-26,ITA,seconda_dose,74299
2021-01-25,ITA,prima_dose,4426
2021-01-25,ITA,seconda_dose,63155
2021-01-24,ITA,prima_dose,2986
2021-01-24,ITA,seconda_dose,30503
2021-01-23,ITA,prima_dose,5499
2021-01-23,ITA,seconda_dose,32514
2021-01-22,ITA,prima_dose,11416
2021-01-22,ITA,seconda_dose,13829
2021-01-21,ITA,prima_dose,14635
2021-01-21,ITA,seconda_dose,19328
2021-01-20,ITA,prima_dose,24312
2021-01-20,ITA,seconda_dose,4472
2021-01-19,ITA,prima_dose,29537
2021-01-19,ITA,seconda_dose,1772
2021-01-18,ITA,prima_dose,36488
2021-01-18,ITA,seconda_dose,4391
2021-01-17,ITA,prima_dose,32908
2021-01-17,ITA,seconda_dose,2799
2021-01-16,ITA,prima_dose,62438
2021-01-16,ITA,seconda_dose,7
2021-01-15,ITA,prima_dose,85463
2021-01-15,ITA,seconda_dose,0
2021-01-14,ITA,prima_dose,90671
2021-01-14,ITA,seconda_dose,0
2021-01-13,ITA,prima_dose,91808
2021-01-13,ITA,seconda_dose,0
2021-01-12,ITA,prima_dose,79940
2021-01-12,ITA,seconda_dose,0
2021-01-11,ITA,prima_dose,79756
2021-01-11,ITA,seconda_dose,0
2021-01-10,ITA,prima_dose,59910
2021-01-10,ITA,seconda_dose,0
2021-01-09,ITA,prima_dose,86154
2021-01-09,ITA,seconda_dose,0
2021-01-08,ITA,prima_dose,94412
2021-01-08,ITA,seconda_dose,0
2021-01-07,ITA,prima_dose,91035
2021-01-07,ITA,seconda_dose,0
2021-01-06,ITA,prima_dose,64660
2021-01-06,ITA,seconda_dose,0
2021-01-05,ITA,prima_dose,78664
2021-01-05,ITA,seconda_dose,0
2021-01-04,ITA,prima_dose,67579
2021-01-04,ITA,seconda_dose,0
2021-01-03,ITA,prima_dose,34819
2021-01-03,ITA,seconda_dose,0
2021-01-02,ITA,prima_dose,37882
2021-01-02,ITA,seconda_dose,0
2021-01-01,ITA,prima_dose,10911
2021-01-01,ITA,seconda_dose,0
2020-12-31,ITA,prima_dose,25109
2020-12-31,ITA,seconda_dose,0
2020-12-30,ITA,prima_dose,4597
2020-12-30,ITA,seconda_dose,0
2020-12-29,ITA,prima_dose,906
2020-12-29,ITA,seconda_dose,0
2020-12-28,ITA,prima_dose,948
2020-12-28,ITA,seconda_dose,0
2020-12-27,ITA,prima_dose,6955
2020-12-27,ITA,seconda_dose,0
2020-12-27,ABR,prima_dose,37
2020-12-27,ABR,seconda_dose,0
2020-12-27,VDA,prima_dose,20
2020-12-27,VDA,seconda_dose,0
2020-12-27,BAS,prima_dose,106
2020-12-27,BAS,seconda_dose,0
2020-12-27,UMB,prima_dose,85
2020-12-27,UMB,seconda_dose,0
2020-12-27,PIE,prima_dose,912
2020-12-27,PIE,seconda_dose,0
2020-12-27,SAR,prima_dose,65
2020-12-27,SAR,seconda_dose,0
2020-12-27,CAM,prima_dose,720
2020-12-27,CAM,seconda_dose,0
2020-12-27,SIC,prima_dose,86
2020-12-27,SIC,seconda_dose,0
2020-12-27,LAZ,prima_dose,139
2020-12-27,LAZ,seconda_dose,0
2020-12-27,CAL,prima_dose,220
2020-12-27,CAL,seconda_dose,0
2020-12-27,FVG,prima_dose,262
2020-12-27,FVG,seconda_dose,0
2020-12-27,TOS,prima_dose,619
2020-12-27,TOS,seconda_dose,0
2020-12-27,LIG,prima_dose,132
2020-12-27,LIG,seconda_dose,0
2020-12-27,VEN,prima_dose,880
2020-12-27,VEN,seconda_dose,0
2020-12-27,LOM,prima_dose,700
2020-12-27,LOM,seconda_dose,0
2020-12-27,PAT,prima_dose,103
2020-12-27,PAT,seconda_dose,0
2020-12-27,MAR,prima_dose,200
2020-12-27,MAR,seconda_dose,0
2020-12-27,PAB,prima_dose,143
2020-12-27,PAB,seconda_dose,0
2020-12-27,MOL,prima_dose,50
2020-12-27,MOL,seconda_dose,0
2020-12-27,PUG,prima_dose,506
2020-12-27,PUG,seconda_dose,0
2020-12-27,EMR,prima_dose,970
2020-12-27,EMR,seconda_dose,0
2020-12-28,LOM,prima_dose,103
2020-12-28,LOM,seconda_dose,0
2020-12-28,SIC,prima_dose,188
2020-12-28,SIC,seconda_dose,0
2020-12-28,LIG,prima_dose,75
2020-12-28,LIG,seconda_dose,0
2020-12-28,SAR,prima_dose,65
2020-12-28,SAR,seconda_dose,0
2020-12-28,CAL,prima_dose,1
2020-12-28,CAL,seconda_dose,0
2020-12-28,LAZ,prima_dose,516
2020-12-28,LAZ,seconda_dose,0
2020-12-29,SIC,prima_dose,214
2020-12-29,SIC,seconda_dose,0
2020-12-29,LOM,prima_dose,100
2020-12-29,LOM,seconda_dose,0
2020-12-29,SAR,prima_dose,56
2020-12-29,SAR,seconda_dose,0
2020-12-29,LAZ,prima_dose,418
2020-12-29,LAZ,seconda_dose,0
2020-12-29,LIG,prima_dose,118
2020-12-29,LIG,seconda_dose,0
2020-12-30,PIE,prima_dose,730
2020-12-30,PIE,seconda_dose,0
2020-12-30,SIC,prima_dose,103
2020-12-30,SIC,seconda_dose,0
2020-12-30,PAT,prima_dose,6
2020-12-30,PAT,seconda_dose,0
2020-12-30,LAZ,prima_dose,1601
2020-12-30,LAZ,seconda_dose,0
2020-12-30,FVG,prima_dose,630
2020-12-30,FVG,seconda_dose,0
2020-12-30,LIG,prima_dose,9
2020-12-30,LIG,seconda_dose,0
2020-12-30,TOS,prima_dose,325
2020-12-30,TOS,seconda_dose,0
2020-12-30,LOM,prima_dose,113
2020-12-30,LOM,seconda_dose,0
2020-12-30,VEN,prima_dose,700
2020-12-30,VEN,seconda_dose,0
2020-12-30,MAR,prima_dose,17
2020-12-30,MAR,seconda_dose,0
2020-12-30,PAB,prima_dose,361
2020-12-30,PAB,seconda_dose,0
2020-12-30,PUG,prima_dose,2
2020-12-30,PUG,seconda_dose,0
2020-12-31,PAB,prima_dose,851
2020-12-31,PAB,seconda_dose,0
2020-12-31,PUG,prima_dose,1631
2020-12-31,PUG,seconda_dose,0
2020-12-31,MAR,prima_dose,383
2020-12-31,MAR,seconda_dose,0
2020-12-31,VDA,prima_dose,18
2020-12-31,VDA,seconda_dose,0
2020-12-31,LAZ,prima_dose,5217
2020-12-31,LAZ,seconda_dose,0
2020-12-31,CAM,prima_dose,1490
2020-12-31,CAM,seconda_dose,0
2020-12-31,UMB,prima_dose,322
2020-12-31,UMB,seconda_dose,0
2020-12-31,VEN,prima_dose,3224
2020-12-31,VEN,seconda_dose,0
